RATING,TITLE,CREDIT,BOXOFFICE,YEAR
80,Colossal,Gloria,3.1,2017
29,Alice Through the Looking Glass,The White Queen,77.1,2016
60,The Intern,Jules Ostin,60.9,2015
72,Interstellar,Brand,158.8,2014
47,Rio 2,Jewel,113.7,2014
69,Les Misérables,Fantine,148.8,2012
87,The Dark Knight Rises,Selina Kyle,448.2,2012
36,One Day,Emma,13.8,2011
72,Rio,Jewel,143.7,2011
48,Love and Other Drugs,Maggie Murdock,33.3,2010
51,Alice in Wonderland,White Queen,319.4,2010
18,Valentine's Day,Liz,110.6,2010
11,Bride Wars,Emma,58.7,2009
84,Rachel Getting Married,Kym,12.8,2008
50,Get Smart,Agent 99,130.3,2008
58,Becoming Jane,Jane Austen,18.7,2007
75,The Devil Wears Prada,Andy Sachs,124.8,2006
87,Brokeback Mountain,Lureen Newsome Twist,83,2005
47,Hoodwinked,Red,50.9,2005
25,The Princess Diaries 2 - Royal Engagement,Mia Thermopolis,95.2,2004
50,Ella Enchanted,Ella of Frell,22.9,2004
78,Nicholas Nickleby,Madeline,1.4,2002
47,The Princess Diaries,Mia Thermopolis,107.8,2001
