Curso,Centro,e-MEC
Administração,CH,13434
Administração,CH,13434
Administração,CCJS,118546
Agronomia,CCTA,99800
Arquitetura e Urbanismo,CTRN,1129147
Arte e Mídia ,CH,21164
Ciências Biológicas,CES,99804
Ciências Biológicas,CES,99804
Ciências Biológicas,CFP,1152882
Ciências Biológicas,CSTR,99802
Ciências Biológicas,CSTR,99802
Ciência da Computação,CEEI,13446
Ciências Contábeis,CCJS,79567
Ciências Econômicas,CH,13451
Ciências Econômicas,CH,13451
Ciências Sociais,CDSA,1106595
Ciências Sociais,CH,313436
Ciências Sociais,CH,13436
Comunicação Social,CH,1149786
Comunicação Social,CH,1149786
Curso Superior de Tecnologia em Agroecologia,CDSA,1150096
Curso Superior de Tecnologia em Gestão Pública,CDSA,1135705
Design,CCT,13447
Direito,CCJS,13433
Direito,CCJS,13433
Direito,CCJS,13433
Interdisciplinar em Educação do Campo,CDSA,1106596
Enfermagem,CCBS,1134328
Enfermagem,CES,107492
Enfermagem,CFP,79572
Engenharia Agrícola,CTRN,13440
Engenharia de Alimentos,CTRN,118550
Engenharia de Alimentos,CCTA,112294
Engenharia Ambiental,CCTA,112282
Engenharia de Biotecnologia e Bioprocessos,CDSA,1106561
Engenharia de Biossistemas,CDSA,1106562
Engenharia Civil,CCTA,1280408
Engenharia Civil,CTRN,13439
Engenharia de Materiais,CCT,13445
Engenharia de Minas,CTRN,13444
Engenharia de Petróleo,CCT,118562
Engenharia de Produção,CDSA,1106578
Engenharia de Produção,CCT,79570
Engenharia Elétrica,CEEI,13438
Engenharia Florestal,CSTR,13456
Engenharia Mecânica,CCT,13442
Engenharia Química,CCT,13441
Estatística,CCT,1120733
Farmácia,CES,107495
Filosofia,CH,121366
Filosofia,CH,121367
Física,CFP,1152879
Física,CCT,318388
Física,CCT,1204358
Física,CES,99810
Física,CES,99810
Geografia,CH,120777
Geografia,CH,120777
Geografia,CFP,13407
Geografia,CFP,13407
História,CH,13449
História,CH,13449
História,CFP,13405
História,CFP,13405
Letras - Libras,CH,364560
Letras - Língua Portuguesa,CFP,1160083
Letras - Língua Portuguesa,CFP,1160083
Letras - Língua Inglesa,CFP,1162185
Letras - Língua Portuguesa e Língua Francesa,CH,1158117
Letras - Língua Inglesa,CH,1158907
Letras - Língua Espanhola,CH,43962
Letras - Língua Portuguesa,CH,1158116
Letras - Língua Portuguesa,CH,1158116
Matemática,CES,99806
Matemática,CES,99806
Matemática,CCT,313448
Matemática,CCT,13448
Matemática,CCT,44247
Matemática,CFP,1152880
Medicina,CCBS,13453
Medicina,CFP,1101742
Medicina Veterinária,CSTR,13437
Meteorologia,CTRN,13435
Música,CH,118630
Música,CH,118632
Nutrição,CES,118910
Odontologia,CSTR,122676
Pedagogia,CFP,13410
Pedagogia,CFP,13410
Pedagogia,CH,13452
Pedagogia,CH,13452
Psicologia,CCBS,1108087
Química,CFP,1152881
Química,CES,99808
Química,CES,99808
Serviço Social,CCJS,1117877
